Frame ID,ArUCo ID,ArUCo 2D,ArUCo 3D (dist yaw pitch roll)
432,4,"[[235.0, 158.0], [244.0, 158.0], [245.0, 167.0], [236.0, 167.0]]","[5.32457619133652, 0.5158231344966064, 2.7616998185242037, -155.8390104230316]"
435,5,"[[423.0, 128.0], [440.0, 127.0], [441.0, 143.0], [424.0, 144.0]]","[2.7760512854755612, -3.5482022868519576, -0.008863594533349846, 170.48102434495453]"
436,5,"[[422.0, 136.0], [439.0, 135.0], [440.0, 152.0], [424.0, 153.0]]","[2.8049531538019927, -1.4526386225449097, 9.310102631259804, -160.7539753277425]"
437,2,"[[889.0, 32.0], [929.0, 16.0], [926.0, 82.0], [888.0, 94.0]]","[0.8579562129840644, 35.17522407252087, 80.1289967442941, -142.91447708310469]"
437,5,"[[434.0, 164.0], [451.0, 165.0], [451.0, 182.0], [435.0, 182.0]]","[2.683139861842797, -2.509701478179093, -20.293207702502617, -176.91378747162526]"
438,5,"[[457.0, 177.0], [474.0, 176.0], [473.0, 193.0], [456.0, 193.0]]","[2.667907868037427, 0.7932989545688591, 14.320824172042009, 168.96061586854313]"
439,5,"[[462.0, 177.0], [478.0, 178.0], [478.0, 195.0], [461.0, 195.0]]","[2.6958539240520043, -1.5557994317056199, -17.270509810003322, -169.2276492859032]"
440,2,"[[898.0, 55.0], [942.0, 39.0], [938.0, 112.0], [894.0, 123.0]]","[0.7732746066671676, 34.681226179455514, 80.05171278936749, -144.9758604531626]"
440,5,"[[441.0, 198.0], [457.0, 199.0], [457.0, 216.0], [440.0, 215.0]]","[2.7435744783065785, 1.1495957844764066, -14.272051683282326, -177.42682599014782]"
441,2,"[[880.0, 45.0], [926.0, 27.0], [921.0, 102.0], [876.0, 114.0]]","[0.752591204199589, 27.974398905864614, 78.83452387465934, -152.4196712389531]"
441,5,"[[416.0, 193.0], [433.0, 193.0], [434.0, 210.0], [416.0, 210.0]]","[2.661826690732741, -1.086731320762324, -6.078081152080032, 173.18582299294255]"
442,5,"[[386.0, 171.0], [404.0, 171.0], [404.0, 189.0], [386.0, 187.0]]","[2.6035006432535353, 3.421417484418643, 1.4751994518547005, -148.29393603985068]"
443,2,"[[849.0, 33.0], [900.0, 11.0], [897.0, 94.0], [845.0, 110.0]]","[0.6693381848169994, 17.650482850541806, 76.86214345967666, -162.42383583173842]"
443,5,"[[351.0, 199.0], [368.0, 197.0], [370.0, 215.0], [352.0, 216.0]]","[2.6609544960008145, -4.660085232218854, 2.5793877078684453, -179.6300202239728]"
444,2,"[[881.0, 35.0], [939.0, 10.0], [940.0, 96.0], [881.0, 114.0]]","[0.6569891712647988, 10.785045242207342, 75.91635437146272, -166.3869148234335]"
445,5,"[[352.0, 213.0], [371.0, 212.0], [372.0, 231.0], [354.0, 231.0]]","[2.492155259865107, -0.685837304849682, 5.932285221897425, -160.7297144684181]"
445,4,"[[230.0, 289.0], [239.0, 289.0], [239.0, 298.0], [230.0, 298.0]]","[5.272623978125742, 0.11168359757093686, 1.4214041092598533, -179.50085861373017]"
446,5,"[[371.0, 217.0], [389.0, 216.0], [391.0, 235.0], [373.0, 236.0]]","[2.4456573052312685, -1.0502464859583414, 15.276256515329177, -165.6227182337636]"
447,5,"[[406.0, 219.0], [426.0, 216.0], [427.0, 235.0], [408.0, 236.0]]","[2.3700093545149366, -6.636576877846043, -5.080491795242482, -148.0677775267075]"
448,5,"[[428.0, 176.0], [447.0, 176.0], [448.0, 195.0], [428.0, 195.0]]","[2.393152476165769, -0.9997233069046041, -4.889438177472249, 174.16998815320915]"
449,5,"[[476.0, 163.0], [495.0, 162.0], [496.0, 182.0], [477.0, 183.0]]","[2.3712817704170592, -5.75906533166736, -13.066499645057368, -168.454023565954]"
450,5,"[[490.0, 161.0], [510.0, 160.0], [511.0, 181.0], [492.0, 182.0]]","[2.3911206867562664, -2.7994447991674245, 5.459894435641353, -168.1284769872826]"
451,5,"[[517.0, 156.0], [538.0, 154.0], [539.0, 175.0], [519.0, 176.0]]","[2.2813474388676336, -2.594271429711917, 8.717421184941742, -158.2193242148839]"
452,5,"[[535.0, 154.0], [555.0, 153.0], [557.0, 174.0], [536.0, 176.0]]","[2.2111572401046655, -6.191206951293667, -9.336229841551386, -171.24192529247074]"
453,5,"[[536.0, 139.0], [558.0, 138.0], [558.0, 159.0], [537.0, 160.0]]","[2.1952022376376377, -2.039211365586237, 4.024275403170142, -151.29382414239603]"
454,5,"[[542.0, 132.0], [563.0, 132.0], [562.0, 156.0], [542.0, 157.0]]","[1.963943284802205, -7.678108425219494, -25.159818891549588, -162.6459515326075]"
455,5,"[[555.0, 128.0], [577.0, 126.0], [578.0, 149.0], [556.0, 151.0]]","[2.0881515534235366, -6.893746908866938, -6.53933205754179, -161.1958493256995]"
455,4,"[[423.0, 226.0], [433.0, 226.0], [434.0, 236.0], [423.0, 236.0]]","[4.395122157579734, -1.228099378362539, -8.779048976103432, 167.7900134804652]"
456,5,"[[564.0, 122.0], [587.0, 120.0], [589.0, 143.0], [566.0, 146.0]]","[2.051390833558472, -6.2752784877823276, 0.7249485258947912, -167.87838583984134]"
456,4,"[[430.0, 225.0], [441.0, 226.0], [441.0, 236.0], [430.0, 236.0]]","[4.19631381960121, 1.4703931308755882, -8.367577767062432, 168.21870815761238]"
456,7,"[[359.0, 273.0], [359.0, 264.0], [368.0, 264.0], [368.0, 273.0]]","[5.158971942331284, -89.8805953037666, 0.9347964556924511, 178.08553110344826]"
457,5,"[[574.0, 127.0], [597.0, 126.0], [598.0, 151.0], [576.0, 152.0]]","[1.9267170381830256, 5.322744132858352, 32.059842362260525, -159.57558893423436]"
458,5,"[[634.0, 125.0], [660.0, 124.0], [660.0, 149.0], [636.0, 151.0]]","[1.9095466420911287, -3.6734657521845615, 0.5927319431072652, -171.17622723854518]"
459,5,"[[657.0, 117.0], [683.0, 115.0], [684.0, 142.0], [658.0, 143.0]]","[1.8474609396241977, 2.625185682867764, 25.304580791454292, -159.45325354010282]"
459,4,"[[507.0, 227.0], [518.0, 227.0], [518.0, 239.0], [507.0, 238.0]]","[4.008815193336409, 5.367543053800297, 20.909910025116464, -163.14745072547143]"
459,7,"[[432.0, 274.0], [432.0, 265.0], [442.0, 265.0], [441.0, 275.0]]","[4.8513353732414375, -86.92675705477447, 5.578369157654185, 175.65980891295533]"
460,5,"[[679.0, 113.0], [706.0, 111.0], [707.0, 138.0], [680.0, 140.0]]","[1.8269464867761307, -2.735573289123706, 7.65538397715247, -173.22730438808432]"
461,5,"[[688.0, 111.0], [717.0, 109.0], [717.0, 137.0], [690.0, 139.0]]","[1.7639685082888816, 1.2641809358019958, 22.832322877392794, -158.1455183928643]"
461,4,"[[532.0, 232.0], [543.0, 232.0], [543.0, 244.0], [532.0, 244.0]]","[3.8868823296813004, -2.467364411806401, -18.222899692542594, -173.3850179568675]"
461,7,"[[457.0, 282.0], [457.0, 272.0], [466.0, 272.0], [467.0, 281.0]]","[4.8421073012789275, -93.13593196480691, -0.453147545630229, -177.1694408086946]"
463,5,"[[699.0, 88.0], [731.0, 86.0], [730.0, 116.0], [700.0, 118.0]]","[1.6293585395252528, -0.05260488177140234, 14.983826815460406, -150.01645331584854]"
463,7,"[[450.0, 269.0], [450.0, 259.0], [460.0, 258.0], [460.0, 269.0]]","[4.356864058024343, -89.9331822774373, -3.1252286788270256, 160.58526540771675]"
464,5,"[[695.0, 79.0], [727.0, 76.0], [727.0, 107.0], [697.0, 109.0]]","[1.6246559339032174, 0.6826518174576207, 20.162898147358174, -152.06096157974562]"
464,4,"[[524.0, 213.0], [536.0, 212.0], [537.0, 224.0], [524.0, 224.0]]","[3.7222368378977526, -1.9714944246859922, 3.5900479790875237, 164.13831190907143]"
464,7,"[[447.0, 265.0], [447.0, 254.0], [457.0, 255.0], [457.0, 265.0]]","[4.369562324853321, -89.95856054715122, -2.018409455230486, -160.1592832586606]"
465,5,"[[698.0, 73.0], [731.0, 69.0], [732.0, 101.0], [700.0, 104.0]]","[1.5607214622397914, -1.5783972475368546, 17.881567011470857, -150.12724897280478]"
465,7,"[[447.0, 272.0], [447.0, 261.0], [456.0, 261.0], [456.0, 272.0]]","[4.207384642276321, -89.88793622215516, 5.013596886868306, 145.4875755272885]"
466,5,"[[685.0, 82.0], [719.0, 79.0], [719.0, 112.0], [687.0, 115.0]]","[1.5200761421674582, -1.8278120246395786, 14.22050373496174, -157.8662103754288]"
466,4,"[[505.0, 231.0], [517.0, 230.0], [518.0, 242.0], [505.0, 243.0]]","[3.678062010058626, -3.545017661474572, 9.721917170288805, 168.19744562190544]"
467,5,"[[745.0, 59.0], [782.0, 55.0], [782.0, 91.0], [746.0, 94.0]]","[1.4367404283131608, 0.01194577767909418, 19.889740880036666, -152.5489687340595]"
467,4,"[[548.0, 218.0], [561.0, 218.0], [561.0, 231.0], [548.0, 231.0]]","[3.5827649570156597, 0.054917518926054995, 1.592618457806594, -178.52847054227246]"
468,5,"[[762.0, 38.0], [800.0, 34.0], [801.0, 72.0], [763.0, 76.0]]","[1.3820887416465388, -3.3964966403852963, 9.167224859715489, -170.25072757215042]"
468,4,"[[556.0, 207.0], [569.0, 207.0], [569.0, 220.0], [555.0, 220.0]]","[3.4522807342463504, 1.5423364044726513, 11.40376988500168, 171.10204821577955]"
468,7,"[[474.0, 264.0], [473.0, 253.0], [483.0, 252.0], [484.0, 263.0]]","[4.194997709590539, -95.22301727721795, 4.445507198885511, 154.05772017464918]"
469,5,"[[778.0, 22.0], [819.0, 18.0], [820.0, 59.0], [779.0, 63.0]]","[1.2909997729666243, -3.2817734832333345, 7.374007168844385, -172.56849293827045]"
469,4,"[[557.0, 212.0], [570.0, 212.0], [569.0, 226.0], [556.0, 227.0]]","[3.1788212081171747, -5.464858667566808, -21.119777931315618, -159.6966167632655]"
469,7,"[[472.0, 271.0], [472.0, 260.0], [482.0, 259.0], [483.0, 271.0]]","[4.017289857420731, -92.47974353661029, 4.502289012624799, 154.63974308376885]"
471,4,"[[504.0, 212.0], [517.0, 211.0], [519.0, 225.0], [504.0, 226.0]]","[3.3026798361169383, -3.919578753536533, 2.1430885487018507, 178.84508129834995]"
471,7,"[[419.0, 275.0], [419.0, 263.0], [429.0, 263.0], [430.0, 275.0]]","[3.8486759058554756, -92.29098593036043, 1.4072922132906873, -148.61087422461517]"
472,4,"[[498.0, 209.0], [512.0, 208.0], [513.0, 222.0], [498.0, 223.0]]","[3.1843129552270217, -2.8422823342718364, 8.747109953399995, 170.34885900935362]"
472,7,"[[413.0, 276.0], [411.0, 264.0], [422.0, 263.0], [423.0, 275.0]]","[3.939847034550826, -96.74691403348179, 3.6282753868244355, -149.78096001820992]"
476,4,"[[527.0, 205.0], [542.0, 205.0], [542.0, 221.0], [527.0, 221.0]]","[2.9335046299431746, -2.413246311454668, -14.603831800134913, -172.2426653457251]"
476,7,"[[435.0, 272.0], [435.0, 259.0], [447.0, 259.0], [447.0, 272.0]]","[3.5616699062991577, -89.84018261090776, 4.77070161375544, 158.60367388464016]"
477,4,"[[535.0, 218.0], [550.0, 217.0], [551.0, 233.0], [535.0, 234.0]]","[2.907717303117475, -1.2042229207645365, 19.8069491599385, -178.466716553742]"
477,7,"[[441.0, 286.0], [442.0, 273.0], [453.0, 273.0], [454.0, 286.0]]","[3.729710009288882, -89.85669965557364, 5.062684838465395, -162.4661751864135]"
479,4,"[[506.0, 220.0], [523.0, 219.0], [523.0, 235.0], [506.0, 236.0]]","[2.7045589745173113, -1.982892643136856, 11.49253473829664, 165.31559550762077]"
479,7,"[[408.0, 291.0], [408.0, 278.0], [421.0, 277.0], [422.0, 291.0]]","[3.408366651458533, -91.95999622171666, -0.5982936828673546, 175.86892777937157]"
480,4,"[[494.0, 215.0], [511.0, 215.0], [512.0, 231.0], [495.0, 232.0]]","[2.713546123351636, -2.3229255746975097, -3.9068703386176806, 171.56507743917552]"
480,7,"[[396.0, 289.0], [396.0, 276.0], [409.0, 275.0], [410.0, 289.0]]","[3.411917902385145, -91.97219717694081, -0.4988901213721507, 176.1755496494792]"
